id_str,created_at,from_user,text,CLEAN,Hashtags,TARGET
519186097759588353,Mon Oct 06 18:03:06 +0000 2014,fxverger,"RT @MinistereCC: #RencNum ""Encourager le partage et la #participation, rapprocher l'artiste et le citoyen, l'œuvre et son public"" @fleurpel…",RT @MinistereCC  #RencNum  Encourager le partage et la #participation  rapprocher l artiste et le citoyen  l œuvre et son public  @fleurpel…, #RencNum #participation , @MinistereCC @fleurpel…
519181629714337792,Mon Oct 06 17:45:21 +0000 2014,Rigaben,RT @LaurePressac: Je vous donnerai tout le soutien nécessaire pour faire bouger les lignes et soutenir le numérique dit @fleurpellerin #Ren…,RT @LaurePressac  Je vous donnerai tout le soutien nécessaire pour faire bouger les lignes et soutenir le numérique dit @fleurpellerin #Ren…, #Ren…, @LaurePressac @fleurpellerin 
519181506766712832,Mon Oct 06 17:44:51 +0000 2014,fabbib75,Franc succès de la Table Mash Up de Romuald Beugnon (petit génie!) http://t.co/lkg0KLy04a aux #RencNum http://t.co/OFhX54EKMD,Franc succès de la Table Mash Up de Romuald Beugnon  petit génie   http   t co lkg0KLy04a aux #RencNum http   t co OFhX54EKMD, #RencNum , 
519178132952449024,Mon Oct 06 17:31:27 +0000 2014,Mr_mecenat,RT @LebelAube: #RencNum  #ClicMuse retenu comme service  innovant. Vivez l'expérience dès nov. Twitter-moi pour betatester! RT SVP http://t…,RT @LebelAube  #RencNum  #ClicMuse retenu comme service  innovant  Vivez l expérience dès nov  Twitter moi pour betatester  RT SVP http   t…, #RencNum #ClicMuse , @LebelAube 
519177892119728128,Mon Oct 06 17:30:30 +0000 2014,LucieMediation,RT @LaurePressac: Il faut partir des pratiques des jeunes natifs du numérique pour les toucher dit @fleurpellerin #RencNum,RT @LaurePressac  Il faut partir des pratiques des jeunes natifs du numérique pour les toucher dit @fleurpellerin #RencNum, #RencNum, @LaurePressac @fleurpellerin 
519174237958184961,Mon Oct 06 17:15:58 +0000 2014,LebelAube,#RencNum  #ClicMuse retenu comme service  innovant. Vivez l'expérience dès nov. Twitter-moi pour betatester! RT SVP http://t.co/fSZifxDkJW,#RencNum  #ClicMuse retenu comme service  innovant  Vivez l expérience dès nov  Twitter moi pour betatester  RT SVP http   t co fSZifxDkJW,#RencNum #ClicMuse , 
519174215350878208,Mon Oct 06 17:15:53 +0000 2014,jaimelesmuses,"RT @MuzeoNum: Demain après-midi, retrouvez @comcomclaire, @remiforall et Xavier Derégel pour parler web au musée #RencNum : http://t.co/Kr6…",RT @MuzeoNum  Demain après midi  retrouvez @comcomclaire  @remiforall et Xavier Derégel pour parler web au musée #RencNum   http   t co Kr6…, #RencNum , @MuzeoNum @comcomclaire @remiforall 
519174215350878208,Mon Oct 06 17:15:53 +0000 2014,jaimelesmuses,"RT @MuzeoNum: Demain après-midi, retrouvez @comcomclaire, @remiforall et Xavier Derégel pour parler web au musée #RencNum : http://t.co/Kr6…",RT @MuzeoNum  Demain après midi  retrouvez @comcomclaire  @remiforall et Xavier Derégel pour parler web au musée #RencNum   http   t co Kr6…, #RencNum , @MuzeoNum @comcomclaire @remiforall 
519173239327977473,Mon Oct 06 17:12:00 +0000 2014,SilverwingMiyu,"RT @JoyceTody: #RencNum F. Pellerin ""Vous êtes des passeurs de culture pour combattre les inégalités virtuelles sur les territoires"" http:/…",RT @JoyceTody  #RencNum F  Pellerin  Vous êtes des passeurs de culture pour combattre les inégalités virtuelles sur les territoires  http  …, #RencNum , @JoyceTody 
519172501428273152,Mon Oct 06 17:09:04 +0000 2014,ChuuutWorld,"RT @TTMobile_fr: TT FRANCE 18:05
1.#NicoleDansLeMag
2.#ThankYou1DForTheWWAT
3.#WeWillBeThereUntilTheirFinalHug
4.Nicole Scherzinger
5.#Renc…","RT @TTMobile_fr  TT FRANCE 18 05
1 #NicoleDansLeMag
2 #ThankYou1DForTheWWAT
3 #WeWillBeThereUntilTheirFinalHug
4 Nicole Scherzinger
5 #Renc…", #NicoleDansLeMag #ThankYou1DForTheWWAT #WeWillBeThereUntilTheirFinalHug #Renc…, @TTMobile_fr 
